"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"65.72466743782533","pp","9606.ENSP00000215793 (pp) 9606.ENSP00000216122","false","pp","9606.ENSP00000215793 (pp) 9606.ENSP00000216122","0.194",,,"0.42",,,,"0.512",
"8.374603174603173","pp","9606.ENSP00000222718 (pp) 9606.ENSP00000301067","false","pp","9606.ENSP00000222718 (pp) 9606.ENSP00000301067",,,"0.5",,,,,"0.533","0.105"
"22.279365079365075","pp","9606.ENSP00000222718 (pp) 9606.ENSP00000272645","false","pp","9606.ENSP00000222718 (pp) 9606.ENSP00000272645",,,"0.5",,,,,"0.499",
"21.252380952380953","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000221494","false","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000221494","0.263",,"0.9","0.981",,,,"0.999","0.38"
"18.23717948717949","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000392094","false","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000392094","0.431",,"0.9","0.996",,,,"0.999","0.356"
"21.252380952380953","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000318861","false","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000318861","0.154",,"0.9","0.977",,,,"0.998","0.482"
"21.252380952380953","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000216252","false","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000216252","0.481",,"0.9","0.895",,,,"0.995","0.24"
"21.252380952380953","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000412566","false","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000412566","0.375",,"0.9","0.996",,,,"0.999","0.994"
"96.79903196218989","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000219252","false","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000219252","0.161",,,"0.507",,,,"0.707","0.35"
"86.92232913285542","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000272645","false","pp","9606.ENSP00000215829 (pp) 9606.ENSP00000272645","0.162",,,"0.507",,,,"0.568",
"216.9333333333333","pp","9606.ENSP00000371253 (pp) 9606.ENSP00000392094","false","pp","9606.ENSP00000371253 (pp) 9606.ENSP00000392094","0.283",,,"0.124",,,,"0.512","0.286"
"38.95238095238096","pp","9606.ENSP00000334122 (pp) 9606.ENSP00000410294","false","pp","9606.ENSP00000334122 (pp) 9606.ENSP00000410294","0.067",,"0.9","0.447",,,,"0.999","0.987"
"29.448936151567732","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000258648","false","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000258648","0.044",,,"0.994",,,,"0.994",
"82.56666666666666","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000301019","false","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000301019","0.141",,,"0.064",,,,"0.484","0.41"
"26.50607900871059","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000297347","false","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000297347",,,,"0.994",,,,"0.994",
"31.593069795701382","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000363193","false","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000363193",,,,"0.994",,,,"0.994","0.137"
"29.448936151567732","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000481733","false","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000481733",,,,"0.994",,,,"0.994",
"29.44893615156773","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000292035","false","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000292035","0.056",,,"0.994",,,,"0.994",
"76.21973581973582","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000262241","false","pp","9606.ENSP00000224950 (pp) 9606.ENSP00000262241",,,,"0.994",,,,"0.994",
"45.98095238095238","pp","9606.ENSP00000216252 (pp) 9606.ENSP00000392094","false","pp","9606.ENSP00000216252 (pp) 9606.ENSP00000392094","0.273",,"0.9","0.907",,,,"0.994","0.322"
"2.0","pp","9606.ENSP00000216252 (pp) 9606.ENSP00000221494","false","pp","9606.ENSP00000216252 (pp) 9606.ENSP00000221494","0.127",,"0.9","0.998",,,,"0.999","0.815"
"2.0","pp","9606.ENSP00000216252 (pp) 9606.ENSP00000412566","false","pp","9606.ENSP00000216252 (pp) 9606.ENSP00000412566","0.253",,"0.9","0.925",,,,"0.995","0.293"
"2.0","pp","9606.ENSP00000216252 (pp) 9606.ENSP00000318861","false","pp","9606.ENSP00000216252 (pp) 9606.ENSP00000318861","0.1",,"0.9","0.996",,,,"0.999","0.996"
"5.4099567099567105","pp","9606.ENSP00000370938 (pp) 9606.ENSP00000481733","false","pp","9606.ENSP00000370938 (pp) 9606.ENSP00000481733",,,"0.9","0.879",,,,"0.993","0.533"
"8.653383458646614","pp","9606.ENSP00000370938 (pp) 9606.ENSP00000417235","false","pp","9606.ENSP00000370938 (pp) 9606.ENSP00000417235",,,"0.54","0.861",,,,"0.995","0.932"
