EdgeBetweenness,interaction,name,selected,shared interaction,shared name,stringdb::coexpression,stringdb::cooccurrence,stringdb::databases,stringdb::experiments,stringdb::fusion,stringdb::interspecies,stringdb::neighborhood,stringdb::score,stringdb::textmining,source,target
96.79903196218989,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000219252,false,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000219252,0.161,,,0.507,,,,0.707,0.35,9606.ENSP00000215829,9606.ENSP00000219252
86.92232913285542,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000272645,false,pp,9606.ENSP00000215829 (pp) 9606.ENSP00000272645,0.162,,,0.507,,,,0.568,,9606.ENSP00000215829,9606.ENSP00000272645
216.9333333333333,pp,9606.ENSP00000371253 (pp) 9606.ENSP00000392094,false,pp,9606.ENSP00000371253 (pp) 9606.ENSP00000392094,0.283,,,0.124,,,,0.512,0.286,9606.ENSP00000371253,9606.ENSP00000392094
38.95238095238096,pp,9606.ENSP00000334122 (pp) 9606.ENSP00000410294,false,pp,9606.ENSP00000334122 (pp) 9606.ENSP00000410294,0.067,,0.9,0.447,,,,0.999,0.987,9606.ENSP00000334122,9606.ENSP00000410294
29.448936151567732,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000258648,false,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000258648,0.044,,,0.994,,,,0.994,,9606.ENSP00000224950,9606.ENSP00000258648
82.56666666666666,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000301019,false,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000301019,0.141,,,0.064,,,,0.484,0.41,9606.ENSP00000224950,9606.ENSP00000301019
26.50607900871059,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000297347,false,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000297347,,,,0.994,,,,0.994,,9606.ENSP00000224950,9606.ENSP00000297347
31.593069795701382,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000363193,false,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000363193,,,,0.994,,,,0.994,0.137,9606.ENSP00000224950,9606.ENSP00000363193
29.448936151567732,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000481733,false,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000481733,,,,0.994,,,,0.994,,9606.ENSP00000224950,9606.ENSP00000481733
29.44893615156773,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000292035,false,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000292035,0.056,,,0.994,,,,0.994,,9606.ENSP00000224950,9606.ENSP00000292035
